ID,Name,Dialogue,HasChoice,AcceptDialogue,AcceptID,RejectDialogue,RejectID,Favorability,ImagePath
1,까망이,집 값이 이렇게 안 잡혀서야... 쯧 쯧,FALSE,,2,,0,0,
2,빨강이,안녕하십니까! 이 사무실에 배정 받은 빨...,FALSE,,3,,0,0,
3,까망이,시끄러워! (잠시 커피를 홀짝거린다.) 너희들은 누구냐?,FALSE,,4,,0,0,
4,빨강이,그러니까 저희는... 이 사무실에 배정 받은,FALSE,,5,,0,0,
5,까망이,질문은 내가 한다!,FALSE,,6,,0,0,
6,파랑이,...,FALSE,,7,,0,0,
7,까망이,이런 젠장! 또야? 하여튼 인간이란...,FALSE,,8,,0,0,
8,까망이,이봐! 지금 출동 인원 몇명이나 있나?,FALSE,,9,,0,0,
9,,...,FALSE,,10,,0,0,
10,까망이,응? 아무도 없다고? 그게 말이 되나?,FALSE,,10,,0,0,
11,,...,FALSE,,11,,0,0,
12,까망이,뭐? 인턴? 우리가 인턴이 어딨어? ... 내가 신청했다고? .... 당연히 기억하지! 그래 알았어.,FALSE,,12,,0,0,
13,까망이,오늘 온다는 인턴은 언제 오는거야!,FALSE,,13,,0,0,
14,빨강이,그러니까 안녕하십니까! 새로 이 마음 해결사 사무실에 배정 받은 빨강입니다!,FALSE,,14,,0,0,
15,파랑이,같이 배정 받은 파랑입니다,FALSE,,15,,0,0,
16,까망이,젠장! 어디 있다가 이제 온거야? 너희들 기본 교육은 이미 받고 왔겠지?,FALSE,,16,,0,0,
17,빨강이,교육이요? 이 곳에 오면 다 알려주신다고...,FALSE,,17,,0,0,
18,까망이,뭐? 이런 윗 대가리들은 뭐하는 거야?,FALSE,,18,,0,0,
19,까망이,설명할 시간이 없다! 저기 뒷 쪽에 보이지?,FALSE,,19,,0,0,
20,까망이,얼른 가서 해결하고 와!,FALSE,,20,,0,0,
21,빨강이,네...? 아니 어떻게...,FALSE,,21,,0,0,
22,까망이,일단 출동해. 설명은 나중에 할테니.,FALSE,,22,,0,0,
23,까망이,후... 이게 다 집 값이 안 잡혀서 그런거야.,FALSE,,-1,,0,0,
24,빨강이,아야야... 이게 뭐야,FALSE,,25,,0,0,
25,파랑이,너 진짜 교육을 안 받은거야?,FALSE,,26,,0,0,
26,빨강이,어...? 받긴 받았지만 그게... 잘 기억이...,FALSE,,27,,0,0,
27,파랑이,하... 여긴 인간세계와 우리 세계의 경계선이야.,FALSE,,28,,0,0,
28,빨강이,"좋아 근데, 우리가 회색으로 물든 세상을 고치는 거랑 이 곳이 무슨 상관이야?",FALSE,,29,,0,0,
29,파랑이,너도 알다시피 우리는 인간의 감정들을 통해 에너지를 얻어.,FALSE,,30,,0,0,
30,파랑이,그런데 인간의 감정이 과도하게 부정적이거나 불안하면 우리의 존재에도 영향을 끼치기 시작하지.,FALSE,,31,,0,0,
31,빨강이,어... 그런데?,FALSE,,32,,0,0,
32,파랑이,그러니까 우리가 살아남기 위해서 인간 세계에 개입해서 그들의 감정을 정상화 해야만 해.,FALSE,,33,,0,0,
33,파랑이,그리고 그 일을 우리 마음해결사들이 해야하는 거고.,FALSE,,34,,0,0,
34,빨강이,그정돈 나도 알아! 근데 그걸 어떻게 하냐는 거지.,FALSE,,35,,0,0,
35,까망이,아아... 잘 들리나 제군들? 첫 임무다.,FALSE,,36,,0,0,
36,까망이,첫 임무다! 우선 저 지독하게 칙칙하고 어지러운 색을 지우고 와!,FALSE,,37,,0,0,
37,파랑이,알겠습니다.,FALSE,,38,,0,0,
38,빨강이,어어? 저기요? 저기로 들어가라구요?,FALSE,,39,,0,0,
39,까망이,그래! 얼른들어가!,FALSE,,40,,0,0,
40,빨강이,근데... 굉장히 위험해 보이기도 하고...,FALSE,,41,,0,0,
41,빨강이,아직 마음의 준비가 안되었달까...?,FALSE,,42,,0,0,
42,빨강이,어? 야 잠깐만! ,FALSE,,44,,0,0,
43,빨강이,아이... 야 같이 가!,FALSE,,-1,,0,0,
44,까망이,에테르가 더 오염되고 있잖아. 뭐 알아낸 거 있나?,FALSE,,45,,0,0,
45,빨강이,아마 저 남자 때문인 것 같아요...,FALSE,,46,,0,0,
46,빨강이,"굉장히 차갑고, 공허한 감정이 느껴져요...",FALSE,,47,,0,0,
47,파랑이,여성에게서도 부정적 감정이 느껴집니다.,FALSE,,48,,0,0,
48,파랑이,혼란스러움과 불안함이 에테르를 오염시키고 있어요.,FALSE,,49,,0,0,
49,까망이,"젠장, 인간들이란.",FALSE,,50,,0,0,
50,파랑이,아직 판단할 단서가 많이 부족합니다. 하지만 문제의 원인은 파악했으니,FALSE,,51,,0,0,
51,파랑이,제거만 하면 될 것 같습니다.,FALSE,,52,,0,0,
52,까망이,좋아 얼른 착수해.,FALSE,,53,,0,0,
53,빨강이,넵!,FALSE,,54,,0,0,
54,빨강이,...,FALSE,,55,,0,0,
55,빨강이,근데 뭘 해야하죠?,FALSE,,56,,0,0,
56,파랑이,하...,FALSE,,57,,0,0,
57,파랑이,이제 저들이 느끼는 감정을 에테르에 영향이 가지 않을만큼 중화해야지.,FALSE,,58,,0,0,
58,빨강이,그러니까 어떻게! 어떻게 하는데?,FALSE,,59,,0,0,
59,파랑이,문제의 원인을 제거 하는 방법은 네가 찾아야지.,FALSE,,60,,0,0,
60,빨강이,그러니까 방법을 알려줘야지!,FALSE,,61,,0,0,
61,파랑이,간단하지. 네 귀를 기울이고 인간의 머리를 쓰다듬어줘.,FALSE,,62,,0,0,
62,빨강이,뭐야! 엄청 쉽네 좋아 나만 믿어.,FALSE,,63,,0,0,
63,파랑이,뭐...? 아니 방금 내가 한 말은...,FALSE,,64,,0,0,
64,빨강이,좋았어! 빨리 가자!,FALSE,,65,,0,0,
65,파랑이,야! 잠깐만 잠깐만 기다려 아까 내가 말한건...,FALSE,,-1,,0,0,
